node	color
26594_accR	#9A7901
26595_accA	#9A7901
26596_accb	#9A7901
26597_accC	#9A7901
26598_accD	#9A7901
26599_accE	#9A7901
26600_accF	#9A7901
26601_accG	#9A7901
26650_accG	#9A7901
26651_accF	#9A7901
12398_NAD-NADP_octopine-no..	#23F4FE
26980_D-vitopine_dehydroge..	#23F4FE
19457_occT_2	#23F4FE
19458_occT_3	#23F4FE
26482_nocM	#23F4FE
26483_nocQ	#23F4FE
26484_nocT	#23F4FE
26485_nocP	#23F4FE
26486_nocR	#23F4FE
125_ornithine_cyclodeami..	#23F4FE
126_ornithine_cyclodeami..	#23F4FE
13615_fructoselysine_3-epi..	#23F4FE
15021_mannose-6-phosphate_..	#23F4FE
205_odh_1	#23F4FE
237_soj_2	#23F4FE
26472_nos	#23F4FE
26473_ocd	#23F4FE
26474_odh	#23F4FE
26475_arc	#23F4FE
26476_noxA	#23F4FE
26478_noxB	#23F4FE
26482_nocM	#23F4FE
26483_nocQ	#23F4FE
26484_nocT	#23F4FE
26485_nocP	#23F4FE
26486_nocR	#23F4FE
26980_D-vitopine_dehydroge..	#23F4FE
26500_repA	#E39F02
26501_repB	#E39F02
26502_repC	#E39F02
121_RolB-RolC_glucosidas..	#455AF6
122_RolB-RolC_glucosidas..	#455AF6
123_RolB-RolC_glucosidas..	#455AF6
124_RolB-RolC_glucosidas..	#455AF6
13702_RolB-RolC_glucosidas..	#455AF6
13706_RolB-RolC_glucosidas..	#455AF6
1670_RolB-RolC_glucosidas..	#455AF6
196_RolB-RolC_glucosidas..	#455AF6
24654_RolB-RolC_glucosidas..	#455AF6
26458_rolB	#455AF6
431_RolB-RolC_glucosidas..	#455AF6
432_RolB-RolC_glucosidas..	#455AF6
507_RolB-RolC_glucosidas..	#455AF6
5101_RolB-RolC_glucosidas..	#455AF6
695_RolB-RolC_glucosidas..	#455AF6
8135_RolB-RolC_glucosidas..	#455AF6
8137_RolB-RolC_glucosidas..	#455AF6
16431_mdlY_3	#455AF6
18295_mdlY_2	#455AF6
205_odh_1	#455AF6
237_soj_2	#455AF6
26455_torf6	#455AF6
26456_5_protein	#455AF6
26457_C_protein	#455AF6
26460_D_protein	#455AF6
26461_E_protein	#455AF6
26462_mas1	#455AF6
26465_tms2	#455AF6
26466_tms1	#455AF6
26467_ipt	#455AF6
26468_6a_protein	#455AF6
26469_6b_protein	#455AF6
26472_nos	#455AF6
4067_frlB_2	#455AF6
12509_traR_2	#D2D501
1458_traR_3	#D2D501
15507_traI	#D2D501
15956_traC	#D2D501
15976_traG_4	#D2D501
18174_traR_4	#D2D501
18220_traR_5	#D2D501
18329_traR_6	#D2D501
18891_traR_2	#D2D501
190_traR_1	#D2D501
2451_traC_2	#D2D501
2482_traR_3	#D2D501
26499_traI	#D2D501
26580_traG	#D2D501
26581_traD	#D2D501
26582_traC	#D2D501
26583_traA	#D2D501
26584_traF	#D2D501
26585_traB	#D2D501
26586_traH	#D2D501
26587_traM	#D2D501
26590_traR	#D2D501
26836_traG	#D2D501
33_traM_1	#D2D501
4105_traR_3	#D2D501
679_traR_2	#D2D501
1075_Transposase_IS66_fam..	#FFE815
1077_IS2_repressor_TnpA	#FFE815
1166_Tn3_transposase_DDE_..	#FFE815
1295_Transposase_IS66_fam..	#FFE815
1303_Tn3_transposase_DDE_..	#FFE815
1307_Transposase_DDE_doma..	#FFE815
13237_Transposase_IS66_fam..	#FFE815
13238_Transposase_IS66_fam..	#FFE815
1333_Transposase_IS116-IS..	#FFE815
1334_Transposase	#FFE815
13516_IS2_repressor_TnpA	#FFE815
13700_Transposase	#FFE815
1416_transposase-IS_prote..	#FFE815
1418_Transposase_IS66_fam..	#FFE815
1421_Transposase	#FFE815
1428_Transposase_IS116-IS..	#FFE815
1442_Transposase	#FFE815
1443_Transposase_IS116-IS..	#FFE815
1447_Transposase_DDE_doma..	#FFE815
1449_Transposase	#FFE815
15633_Tn3_transposase_DDE_..	#FFE815
16428_Transposase	#FFE815
17827_Transposase	#FFE815
18175_IS2_repressor_TnpA	#FFE815
18176_IS2_transposase_TnpB	#FFE815
18264_Transposase	#FFE815
182_Transposase_DDE_doma..	#FFE815
18310_Transposase	#FFE815
18497_Transposase	#FFE815
189_Transposase	#FFE815
19018_Transposase_IS116-IS..	#FFE815
19399_transposase	#FFE815
19401_transposase	#FFE815
20431_IS66_Orf2_like_prote..	#FFE815
22003_Transposase_DDE_doma..	#FFE815
22834_Transposase_IS66_fam..	#FFE815
23671_Tn3_transposase_DDE_..	#FFE815
23672_Tn3_transposase_DDE_..	#FFE815
25499_Transposase_IS116-IS..	#FFE815
2619_Transposase_DDE_doma..	#FFE815
26839_transposase	#FFE815
26844_transposase	#FFE815
2758_Transposase	#FFE815
3978_Transposase	#FFE815
3979_Transposase_IS116-IS..	#FFE815
3980_Transposase_C_of_IS1..	#FFE815
3981_Transposase_IS66_fam..	#FFE815
4002_Transposase	#FFE815
4003_IS66_Orf2_like_prote..	#FFE815
4007_Transposase_DDE_doma..	#FFE815
4008_Transposase_DDE_doma..	#FFE815
4049_Transposase_IS116-IS..	#FFE815
4052_Transposase_IS116-IS..	#FFE815
4061_Transposase_IS66_fam..	#FFE815
4062_IS66_Orf2_like_prote..	#FFE815
5110_IS2_transposase_TnpB	#FFE815
5111_IS2_repressor_TnpA	#FFE815
5244_Transposase	#FFE815
6052_Transposase_IS116-IS..	#FFE815
6053_IS2_repressor_TnpA	#FFE815
687_Transposase-_Mutator..	#FFE815
