strain	GeneA	GeneB	GeneC	GeneD	GeneE
06-478 st	0	0	0	0	0
06-617-1	0	0	0	1	0
06-777-2L	1	1	1	1	0
12D13	1	1	0	0	0
12D1	0	1	1	0	0
13-2099-1-2	1	0	1	0	0
13-626	1	1	0	1	0
14-818c	1	1	1	0	0
15-1187-1-2a	1	1	1	1	0
15-1187-1-2b	0	1	0	1	0
15-172	0	1	0	1	0
15-174	0	0	1	1	0
16-280-1a	1	0	1	0	0
16-280-1b	0	1	0	1	0
1D1108	1	0	0	1	0
1D132	0	1	0	0	0
1D1460	1	0	0	0	0
1D1609	1	1	1	0	0
2659	0	0	0	1	0
2788	1	1	0	1	0
39/7	1	0	0	1	0
A 13.1	0	0	1	0	0
A1/90	1	1	1	0	0
A19/93	0	0	1	1	0
A 24.8	0	0	0	1	0
A47a	0	1	0	1	0
A4	0	1	1	0	0
A51	0	0	1	1	0
A 6.4	1	0	0	0	0
A6	0	1	1	1	0
A74a	0	1	0	0	0
AC27/96	1	0	0	0	0
AC44/96	0	1	1	0	0
Ach5	0	1	1	0	0
AF1/95	1	1	0	1	0
AF27/95	1	0	0	1	0
Af3.44	1	1	1	1	0
AF52/95	0	1	0	0	0
AF82/95	1	1	0	1	0
Afi8	0	0	0	1	0
AL. 21.2	1	0	1	0	0
AL 9.2.2	1	0	0	1	0
AP82/95	1	0	1	1	0
AQ11/95	1	1	1	0	0
AR13K/71 (2)	1	1	1	1	0
AR13K/71	1	1	1	0	0
Aru2	0	0	0	0	0
AS10/95	0	0	1	1	0
AS2A7	1	0	0	1	0
AS2J4	1	1	1	1	0
ATCC 15834	0	0	1	1	0
ATCC 15955	1	0	0	0	0
AV25/95	0	0	1	1	0
B131/95	0	1	1	1	0
B133/95	0	0	1	1	0
B140/95	0	1	0	1	0
B147/94	0	1	0	0	0
B1/74	1	1	0	0	0
B4/73	1	0	1	0	0
B49C/83	0	0	1	0	0
B6806	1	0	0	1	0
B6	0	1	1	1	0
B 7.7	0	1	1	0	0
BM37/95	0	0	0	1	0
Bo542	1	0	0	1	0
C16/80	0	0	0	1	0
C58	0	0	0	0	0
CA75/95	1	0	1	0	0
CA84/95	0	0	1	1	0
CG101/95	1	1	1	0	0
CG412	0	1	1	1	0
CG53/95	1	1	0	0	0
CG678	0	0	0	1	0
CG78	0	1	1	1	0
CG920	0	0	0	1	0
Cherry 2E-2-2 (UHFBA-218)	1	0	1	0	0
CM65/95	1	0	1	0	0
CM79/95	0	0	0	0	0
CM80/95	1	0	0	1	0
CP182/95	1	1	1	0	0
D100/85	0	1	0	1	0
D108/85	1	0	0	0	0
D10b/87	0	0	1	1	0
D1/76	0	1	1	0	0
D1/94	1	1	0	0	0
D2/76	0	0	0	1	0
D50/85	1	0	0	0	0
Di1411	0	1	1	1	0
Di1411 (Ri)	0	1	0	0	0
Di1462	0	0	0	1	0
Di1472	0	0	1	1	0
Di1519	0	0	0	0	0
Di1525a	1	0	0	0	0
Eu2-1NK	1	0	0	1	0
Eu2-1RS	1	0	0	0	0
Eu3-2NK	1	0	1	0	0
Eu3-2RS	0	0	1	0	0
F2/5	0	0	1	0	0
FPH-AR2	1	0	1	1	0
FPH-AT4	1	1	0	1	0
G 10.5	1	0	0	1	0
G3/79	0	1	0	0	0
G 8.3	0	1	0	1	0
G9/79	1	0	0	0	0
GC1A3	1	0	0	1	0
H16/79	0	0	1	0	0
H25/79	0	0	1	0	0
I2/75	0	0	0	1	0
IL15	1	0	0	1	0
IL30	1	0	1	1	0
J10B/93	1	0	0	1	0
J2/75	1	0	1	1	0
J3/75	0	1	1	0	0
J5a/93	0	0	0	0	0
K196/80	0	1	0	1	0
K224	0	1	0	0	0
K27	1	0	1	0	0
K599	0	0	0	1	0
K6/73	0	0	0	1	0
K84	1	1	1	1	0
K95/95	1	1	1	0	0
L20/94	0	0	0	1	0
L29/94	0	0	1	0	0
LMG 215	0	0	1	1	0
LMG 232	1	0	1	0	0
LMG 267	0	1	1	1	0
LMG 292	1	0	0	1	0
LMG 305	0	1	0	0	0
M2/73	0	0	1	0	0
M56 /79	1	0	0	1	0
MAFF03-01724	1	0	0	1	0
MAFF301001	0	0	1	1	0
N2/73	0	1	0	1	0
N33/94	1	1	0	1	0
N40/94	1	0	0	1	0
N64/94	1	0	0	0	0
NBRC 13261	1	0	0	0	0
NCIB 8196	1	0	1	0	0
NCPPB 2655	1	1	1	0	0
NCPPB 2657	1	1	0	0	0
NCPPB 3554 (K309)	1	1	1	1	0
O16/94	1	0	1	1	0
O54/95	0	0	1	0	0
P1/75	0	1	1	1	0
P22/94	1	1	0	1	0
P23/94	0	1	1	1	0
P86/93	0	1	0	0	0
